Name,Price,Manufacturer,Category,Stock Availability,Scale,Type,Brand,Series,Review
HGBD 005 Ogre GN-X,21.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
1/48 Reginleif (Kurena/Anju Use) 86,46,Bandai,Model Kit,Out of stock,1/48,HG - High Grade,86,None,No reviews
HGUC RX-79[G] The Ground War Set Gundam 08th MS Team,23.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,The 08th MS Team,No reviews
HGBC 046 HWS & SV Customize Weapon Set,11.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Build Divers,No reviews
HG00 005 MSJ-06II-A Tieren Ground Type,16,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HGUC 227 Unicorn Gundam 03 Phenex (Unicorn Mode) (Narrative Ver.) (Gold Coating),61,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGCE 21 Sword Impulse Gundam,20,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Seed Destiny,No reviews
HGUC 164 Nemo (Unicorn Desert Color Ver.),19.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGUC 029 Ex-S Gundam,29.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,2.5
HG00 011 SVMS-010 Over Flag,13.88,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,3.0
HG Mazinkaiser (Infinitism),61.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Super Robot (Getter/Mazinger),None,No reviews
HGUC 046 RGM-79G GM Command,13,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.3
HGBD:R 034 Gundam Anima [Rize],22.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG00 062 GNY-001F Gundam Astraea Type-F,20.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HGUC 166 MS-06R-2 Zaku II (Johnny Ridden Custom),23,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBD 023 Mobile Doll Sarah,29.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGIBO 017 Graze Ritter (Carta Custom),16,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 157 PMX-000 Messala,38,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG M9D Falke Ver.IV,39.95,Bandai,Model Kit,Out of stock,1/60,HG - High Grade,Full Metal Panic,None,5.0
HG00 042 GN-0000+GNR-010 00 Trans-Am Raiser,20.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HGGT Zaku II +Big Gun,43.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Thunderbolt,No reviews
HGBD 006 Seravee Gundam Scheherazade,23.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGUC 069 Gundam TR-1 Hazel II,16.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGCE 226 ZGMF-X42S-REVOLUTION Destiny Gundam (Heine Westenfluss Custom),23.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Seed Destiny,5.0
HGBC 036 Diver Ace Unit,7.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Build Divers,No reviews
HGUC 026 Gelgoog Marine (Cima Custom),21,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.5
HGUC 221 Gustav Karl (Unicorn Ver.),29.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.0
HGBD 017 Impulse Gundam Arc,20.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGBD 018 Impluse Gundam Lancier,20.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGGU 001 OZX-GU01A Gundam Geminass 01,9.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Wing,3.0
HGBD 024 Gundam Age-II Magnum (SV Ver.),24.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG00 012 GNW-002 Gundam Throne Zwei,18.51,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HG00 052 GN-000 O Gundam (Gray),14.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HG00 069 CB-002 Gundam Raphael,26,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HGBD 019 Gundam Love Phantom,24.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGSEED 40 ORB-01 Owashi Akatsuki Gundam,30,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGSEED 13 MBF-P03 Gundam Astray Blue Frame,14,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 205 Gundam AN-01 Tristan,16.98,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,2.0
HGUC 131 RMS-179 GM II,17,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGIBO 029 Mobile Armor Hashmal,47,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGGTO 008 YMS-03 Waff,21.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 108 RGZ-95 ReZEL Commander Type,27,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBF 065 Striker GN-X,21.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HG MSV 06 GAT-01A1 105 Dagger + GunBarrel,17.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Seed,No reviews
HGUC 033 RMS-099 Rick Dias (Quattro Bajeena Ver.),14.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,2.0
HGSEED 12 MBF-P02 Gundam Astray Red Frame,12.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGSEED R11 TMF/A- 803 LaGOWE,15.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.5
HGBF 035 Crossbone Gundam X-1 Full Cloth,23.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBF 062 Winning Fumina,25.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.0
HGFC 129 Nobell Gundam Berserker Mode,16.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,G Gundam,No reviews
HGGTO 006 MW-01 Mobile Worker,19.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG Grendizer (Infinitism),59.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Super Robot (Getter/Mazinger),None,No reviews
HGUC 153 Unicorn Gundam 02 Banshee Norn (Unicorn Mode),22,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG ARX-7 + XL-2 Arbalest Ver.IV (with XL-2 Booster),45.95,Bandai,Model Kit,Out of stock,1/60,HG - High Grade,Full Metal Panic,None,No reviews
HGGPB 04 Beargguy,19.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,None,No reviews
HG MSV 04 Hyperion Gundam,15.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Seed,No reviews
HG 001 EVA-01 Test Type (Rebuild of Evangelion Ver.),46,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Neon Genesis Evangelion,None,5.0
HG 003 EVA-01 Test Type (Awakening Ver.),44,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Neon Genesis Evangelion,None,5.0
HG00 014 GNW-003 Gundam Throne Drei,19.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HGUC 141 RSA-96 Anksha,32,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG 001 EVA-01 Test Type,32,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Neon Genesis Evangelion,None,No reviews
HGUC 219 Dijeh,24,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG ARX-8 Laevatein Ver.IV,41.95,Bandai,Model Kit,Out of stock,1/60,HG - High Grade,Full Metal Panic,None,No reviews
HGBD 010 Galbaldy Rebake,26.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
SDBD 026 RX-Zeromaru Shinkikessho,19.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBD 002 GM III Beam Master,19.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBF 029 Hi-Nu Gundam Vrabe,26.93,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGUC 027 Dom Tropen (Sand Brown),19,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGBC 028 Lightning Back Weapon System MK-III,9.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Build Fighters,No reviews
HGGU 002 OZ-10VMSX Gundam Aesculapius,9.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Wing,No reviews
HGIB-A MS Option Set 5 & Tekkadan Mobile Worker,7.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Iron-Blooded Orphans,No reviews
HGBD 014 Gundam 00 Sky,20.97,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBC 040 Binder Gun,7.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Build Divers,No reviews
HGIB-A MS Option Set 3 & Gjallarhorn Mobile Worker,6.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Iron-Blooded Orphans,No reviews
HG MAILeS JOGAN,29.99,Bandai,Model Kit,Out of stock,1/72,HG - High Grade,Kyoukai Senki / Amaim,None,No reviews
HGBF 045 ZZII,26.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBC 025 Jigen Build Knuckles (Round),5.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Build Divers,No reviews
HGGTO 014 Guncannon High-mobility / Firepower Test Type,21.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 024 Xekueins,22,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGSEED 24 ZGMF-X23S Savior Gundam,20,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGBD 015 Jegan Blast Master,23.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGSEED 20 ZGMF-X88S Gaia Gundam,20,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG MSV 07 Dreadnought Gundam,19.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Seed,No reviews
HG 1/48 Reginleif (Shin Use),42,Bandai,Model Kit,Out of stock,1/48,HG - High Grade,86,None,No reviews
HGGTO 020 YMS-11 Act Zaku Kycilia Forces Custom,21.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGGTO 018 MS-05 Zaku I (Kycilia's Forces),21.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG ARX-7 Arbalest Ver. IV,30.95,Bandai,Model Kit,Out of stock,1/60,HG - High Grade,Full Metal Panic,None,No reviews
SDBD 013 RX-Zeromaru,19.93,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Build Divers,No reviews
HG EW-03 Gundam Heavyarms Custom,9.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Wing: Endless Waltz,No reviews
HG EW-02 Tallgeese III,9.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Wing: Endless Waltz,No reviews
HG M9 Gernsback Ver.IV (Aggressor Squadron),36.95,Bandai,Model Kit,Out of stock,1/60,HG - High Grade,Full Metal Panic,None,5.0
HG MSV 05 YFX-200 CGUE Type D.E.E.P. Arms,17.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Seed,5.0
HG 008 EVA-05 Mass Production,31,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Neon Genesis Evangelion,None,No reviews
HGSEED 17 ZGMF-X56S/α Force Impulse Gundam,15.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGSEED R17 GAT-X105+AQM/E-YM1 Perfect Strike Gundam,17.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,2.0
HGSEED R10 GAT-X370 Raider Gundam,15.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGSEED R14 ZGMF-X09A Justice Gundam,15.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGSEED R13 ZGMF-X13A Providence Gundam,15.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGSEED 36 ZGMF-X42S Destiny Gundam,17.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGSEED 19 ZGMF-X24S Chaos Gundam,15.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HGBC 006 Hyper GunPla Battle Weapons,6.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Build Fighters,No reviews
HGSEED 28 ZGMF-X1001/M Blaze Zaku Phantom,16.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Seed Destiny,No reviews
HG00 026 GN-008 Seravee Gundam,17.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HGSEED R12 TMF/A-802 Mobile BuCue,18,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBF 046 Gyancelot,18.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBD 009 Gundam 00 Diver Ace,23.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG00 013 GN Arms Type E + Gundam Exia (Trans-Am Mode),57.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HG00 034 GN-005 Gundam Virtue (Trans-Am Mode),17.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HGSEED R15 ZGMF-X10A Freedom Gundam,15.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG00 028 GN-007 Arios Gundam,15.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HGSEED R16 MBF-01 M1 Astray,15.45,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGSEED 38 ORB-01 Shiranui Akatsuki Gundam,29.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG 004 EVA-01 Test Type (2nd Movie Ver.),41.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Neon Genesis Evangelion,None,No reviews
HGBC 041 Machine Rider,14.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Build Divers,No reviews
HG Evangelion Mark 06 (New Movie Ha Ver.),45.97,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Neon Genesis Evangelion,None,4.0
HGBC 035 Changeling Rifle,7.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Build Divers,No reviews
HG Bunyip Boomerang,29.99,Bandai,Model Kit,Out of stock,1/72,HG - High Grade,Kyoukai Senki / Amaim,Kyoukai Senki / Amaim,5.0
HGBD 021 Gundam 00 Sky HWS (Trans-Am Infinity Mode),24.98,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
LM HG 004 EVA Unit-00 Prototype (Blue Ver.),31,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Neon Genesis Evangelion,None,No reviews
HGBD 008 Leo NPD,13.93,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBC 037 Tiltrotor Pack,9.94,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Build Divers,No reviews
HGSEED R06 ZGMF-1017 Mobile Ginn,10.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG Grendizer (Infinitism) (Black Ver.),59.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Super Robot (Getter/Mazinger),None,No reviews
HG EW-05 Gundam Deathscythe Hell EW,11.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Wing: Endless Waltz,No reviews
HG00 007 SVMS-01E Union Flag Graham Custom,11.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HG EW-01 Wing Gundam Zero EW,11.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Wing: Endless Waltz,No reviews
HGSEED R07 ZGMF-505 Mobile Cgue,13.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGSEED 23 ZGMF-1000/A1 Gunner Zaku Warrior,14.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG00 024 GN-006 Cherudim Gundam,12.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HG 1/48 Reginleif (Raiden / Theo Use),44,Bandai,Model Kit,Out of stock,1/48,HG - High Grade,86,None,No reviews
HG Getter Dragon (Infinitism Ver.),54.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Super Robot (Getter/Mazinger),None,No reviews
HGSEED R01 GAT-X105 Aile Strike Gundam,12.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGIBO 011 Gundam Kimaris,13.93,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGSEED R03 GAT-X103 Buster Gundam,13.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG00 032 GN-002 Gundam Dynames (Trans-Am Mode),13.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HGRC 014 Dahack,21.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,None,No reviews
HGSEED R05 GAT-X303 Aegis Gundam,12.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGRC 002 Grimoire,16.98,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,None,No reviews
HG00 031 GN-001 Gundam Exia (Trans-Am Mode),13.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HGSEED R02 GAT-X102 Duel Gundam Assault Shroud,13.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG 1/24 Spiricle Striker Mugen (Claris Type),51.95,Bandai,Model Kit,Out of stock,1/24,HG - High Grade,Sakura Wars,None,No reviews
HG 002 EVA-02 Production Model,29.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Neon Genesis Evangelion,None,4.0
HGBD 022 Gundam Shining Break,19.97,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBD 007 Geara Ghirarga,20.97,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGUC Sinanju [Titanium Finish],55.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Unicorn,4.0
LM HG 007 EVA Unit-01 Test Type (Transportation),43,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Neon Genesis Evangelion,None,No reviews
HGBD 011 Gundam Jiyan Altron,21.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG00 033 GN-003 Gundam Kyrios (Trans-Am Mode),17.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,4.0
HG Bracer Phoenix,25,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Pacific Rim,None,No reviews
HGRC 001 Gundam G-Self,18.98,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,None,No reviews
HGUC 028 RX-78 GP03 Dendrobium,289.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGBF 019 Powered GM Cardigan,19.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGSEED 41 GAT-X105E Strike Noir Gundam,16.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG00 063 CB-001.5 1.5 Gundam,18.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HG00 043 GNW-20000 Arche Gundam,19.97,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HGBF 057 NinPulse Gundam,22.98,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGGU 004 OZ-15AGX Hydra Gundam,10.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Wing,No reviews
HGSEED 46 TMF/A-802W2 Kerberos BuCUE Hound,20,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG MAILeS JOGAN Kai,29,Bandai,Model Kit,Out of stock,1/72,HG - High Grade,Kyoukai Senki / Amaim,Kyoukai Senki / Amaim,No reviews
HGRC 015 Gastima,18.89,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,None,No reviews
HGGU 005 OZ-19MASX Gundam Griepe,10.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Wing,No reviews
DMG Box - HGM 01 1/550 Dendrobium RX-78GP03,49,Bandai,Model Kit,Out of stock,1/550,HG - High Grade,None,None,No reviews
HGBD 027 Gundam Zerachiel,28.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG00 038 GN-0000+GNR-010 00 Raiser (Designer's Color Ver.),18.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HGGU 003 OZX-GU01LOB,9.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Wing,No reviews
DMG Box - HGUC 008 MSN-03 Gogg,8.8,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG 1/300 Go-Saurer,57.95,Bandai,Model Kit,Out of stock,1/300,HG - High Grade,None,None,No reviews
HGSEED 42 GAT-X103AP Verde Buster Gundam,20,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HG Soryumaru,29.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,None,4.0
HGBF 038 Gundam Tryon 3,32.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBD 003 Grimoire Red Beret,19.97,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGGT RX-79GS Gundam Ground Type S,20.65,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Thunderbolt,No reviews
HG M9 Gernsback (Mao Custom) Ver.IV,31.92,Bandai,Model Kit,Out of stock,1/60,HG - High Grade,Full Metal Panic,None,No reviews
HGBC 039 Ptolemaios Arms,9.94,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Build Divers,No reviews
HGBF 067 Mrs. Loheng-rinko,26.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBF 014 Cross Bone Gundam Maoh,21.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HG M9 Gernsback Ver.IV,31.92,Bandai,Model Kit,Out of stock,1/60,HG - High Grade,Full Metal Panic,None,No reviews
HG00 070 00 Raiser GN Condenser Type,23.15,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,No reviews
HG00 072 GNX-903VS Brave (Standard Test Type),21,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,4.0
HG Getter Arc,49.99,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,Super Robot (Getter/Mazinger),None,No reviews
DMG BOX - HGIBO 033 Gundam Barbatos Lupus Rex,14.45,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBD 020 GBN Guard Frame,17.94,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBF 003 Gundam X Maoh,21.95,Bandai,Model Kit,Out of stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
