Name,Price,Manufacturer,Category,Stock Availability,Scale,Type,Brand,Series,Review
FG 1/144 RX-78-2,8,Bandai,Model Kit,Out of stock,FG - First Grade,Mobile Suit Gundam,Mobile Suit Gundam,None,No reviews
FG 1/144 Char's Zaku,8,Bandai,Model Kit,Out of stock,FG - First Grade,Mobile Suit Gundam,Mobile Suit Gundam,None,No reviews
HGUC 215 Moon Gundam,37,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGAC 211 Leo,13,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.8
HGUC 191 RX-78-2 Gundam (Revive),13,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.8
HGUC 240 Nightingale,82,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Char's Counterattack,5.0
HGUC 007 RX-75 Guntank,9.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.3
HGIBO 001 Gundam Barbatos,13,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.5
HGAC 236 Heavyarms,19.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.2
HGUC 190 RX-77-2 Guncannon (Revive),15,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.9
HGIBO 035 Gundam Kimaris Vidar,17,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.5
HGIBO 033 Gundam Barbatos Lupus Rex,17,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.1
HGGBB 10 Gundam Astray Red Frame Inversion,26,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.7
HGUC 233 Messer F-1,31,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 210 RX-79[G] Gundam Ground Type,22,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HGAC 228 Gundam Sandrock,19.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.8
HGGTO 024 MS-06S Zaku II (Red Comet Ver.),23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
